CO2 (g/s) [estimated maf],intake_pressure,intake_temperature,rpm,speed
0.809920830252757,26.0,54.0,1568.0,43.0
1.7969419146771408,57.0,53.0,1582.0,43.0
2.1999954241838706,69.0,53.0,1600.0,43.0
1.2267614616392206,38.0,54.0,1625.0,44.0
0.7562015915115027,24.0,54.0,1586.0,45.0
0.7802600227672936,25.0,54.0,1571.0,43.0
0.7423744501786946,24.0,54.0,1557.0,43.0
0.788226522299558,26.0,54.0,1526.0,42.0
0.7861603977325867,26.0,54.0,1522.0,41.0
0.9274912647463748,31.0,54.0,1506.0,41.0
0.701787022387133,25.0,54.0,1413.0,42.0
0.7325802250679555,25.0,54.0,1475.0,40.0
0.7572346537949883,26.0,54.0,1466.0,40.0
0.992256323287976,34.0,54.0,1469.0,40.0
2.27412570478137,72.0,53.0,1585.0,40.0
2.6542426677914013,85.0,53.0,1567.0,42.0
2.970770994944812,93.0,53.0,1603.0,43.0
2.9879285679540724,90.0,53.0,1666.0,45.0
3.0793957690138902,90.0,53.0,1717.0,46.0
3.18070715249714,91.0,53.0,1754.0,49.0
3.1302432402932023,87.0,52.0,1800.0,50.0
2.1795767747226744,58.0,52.0,1880.0,51.0
1.2736851805330964,40.0,52.0,1593.0,51.0
1.192430782245792,41.0,52.0,1455.0,52.0
0.7937320447524253,33.0,53.0,1207.0,52.0
0.8154330865724999,33.0,53.0,1240.0,52.0
0.908155719803728,33.0,53.0,1381.0,51.0
0.8890851072951774,33.0,53.0,1352.0,51.0
0.8621232068520543,33.0,53.0,1311.0,50.0
0.9025334788360068,34.0,52.0,1328.0,49.0
0.8726648515929353,34.0,53.0,1288.0,49.0
0.8658895033662822,34.0,53.0,1278.0,47.0
0.8536938765583063,34.0,53.0,1260.0,47.0
0.8564837258281046,35.0,53.0,1228.0,46.0
0.833467469352268,35.0,53.0,1195.0,45.0
0.8357591312524595,36.0,53.0,1165.0,43.0
0.7321560858690178,37.0,53.0,993.0,41.0
0.7803606957521773,40.0,53.0,979.0,39.0
0.7771722965866933,39.0,53.0,1000.0,37.0
0.7970997913709676,40.0,53.0,1000.0,36.0
0.7795038134764535,39.0,53.0,1003.0,35.0
0.7875345938745161,40.0,53.0,988.0,32.0
0.7957845767152055,41.0,53.0,974.0,28.0
0.79072299304,40.0,53.0,992.0,25.0
0.7779693963780645,40.0,53.0,976.0,22.0
0.7723896978384677,40.0,53.0,969.0,19.0
0.8126830922922701,42.0,53.0,971.0,16.0
0.821112422586018,41.0,53.0,1005.0,12.0
0.8729438365199154,42.0,53.0,1043.0,9.0
0.6928789936492137,38.0,53.0,915.0,7.0
0.6784714149201833,39.0,53.0,873.0,5.0
0.7397484613818265,46.0,53.0,807.0,3.0
0.7941106671533265,50.0,53.0,797.0,3.0
0.7941106671533265,50.0,53.0,797.0,2.0
0.7916994402844291,51.0,53.0,779.0,0.0
0.7754386045404614,51.0,53.0,763.0,0.0
0.7453616870197526,49.0,52.0,761.0,0.0
0.7483000379541274,49.0,52.0,764.0,0.0
0.762572028206805,50.0,52.0,763.0,0.0
0.7443822367082943,49.0,52.0,760.0,0.0
0.7795038134764534,51.0,53.0,767.0,0.0
0.7562484270632055,50.0,53.0,759.0,1.0
1.3449251991052862,63.0,52.0,1068.0,3.0
1.94067085385432,64.0,52.0,1517.0,6.0
2.250856770858597,61.0,52.0,1846.0,10.0
2.460379182383204,56.0,52.0,2198.0,12.0
2.318358887221753,63.0,52.0,1841.0,15.0
3.0774128898200543,73.0,52.0,2109.0,18.0
2.492840964134392,56.0,52.0,2227.0,20.0
2.543952279367022,79.0,52.0,1611.0,21.0
2.970253030233772,87.0,52.0,1708.0,23.0
2.956900523946953,82.0,52.0,1804.0,25.0
3.024262718837043,101.0,52.0,1498.0,39.0
3.1191494663572974,101.0,52.0,1545.0,40.0
3.0474896833659115,99.0,52.0,1540.0,41.0
3.207979612972004,101.0,52.0,1589.0,42.0
